ID_Transaccion,Departamento,Fecha,Tipo_Gasto,Monto,Descripcion,Aprobado
82af085c-138d-494c-ab0a-beddc77444cb,Administracion,2021-10-12,Software,1326.8,Tenido historia riesgo ahí.,True
4187222b-257d-4e52-9a51-65ca3c7c1d85,Administracion,2018-08-17,Equipamiento,2976.9,Cuenta cómo peso vida marzo.,True
c2874f06-9050-47ef-8123-5c9176c5a0dc,Administracion,2024-07-09,Software,297.14,Consejo llama manuel opinión elementos entrar formas debe.,True
4d85a3d2-a1a2-4485-b134-8c2a780b3657,Administracion,2017-04-11,Mantenimiento,3292.4,Principal propia e llegó esta.,True
a508dc95-13a4-4492-897d-e16dd4ea120a,Administracion,2022-05-22,Equipamiento,2235.84,Debido sociales puntos palabra.,False
925817b7-cf50-4889-a8b7-7f7b7321bf6b,Docencia,2016-10-23,Nomina,1805.01,Varios nuevos debe nos estado.,True
812a1f9b-1596-4802-b6dd-6257fb7d9f1c,Recursos Humanos,2021-12-16,Software,4302.89,Son cambios torno pública.,True
486bb6bf-eafd-47d9-9f73-3a3e5d286aa4,Docencia,2018-10-25,Mantenimiento,1512.27,Fondo español domingo diciembre reunión él.,False
48bddb3e-62f5-4f2b-adaa-44ca8ed6ad5e,Recursos Humanos,2017-09-21,Viaticos,2328.65,Éxito siete violencia instituciones claro.,True
598ddaec-eaaf-4543-a434-a678a9e27ba9,Infraestructura,2026-01-11,Software,668.02,Arriba derecha presencia unión diversos.,False
caaa5bbe-a4bb-4962-a06e-0e1c8f158449,Recursos Humanos,2021-05-19,Viaticos,3322.54,Aspectos grande título modelo políticas próximo.,False
5cd33369-04aa-41b7-9ca0-c428822c4d32,Recursos Humanos,26/04/2023,Mantenimiento,1019.15,Mujer nuestra encuentran capacidad importante.,True
d82c7565-4bb9-47ec-93c1-175427aa7cbc,Docencia,2018-06-15,Viaticos,3164.5,Universidad televisión finalmente tenemos.,True
218c6e1c-9e37-4f7a-842c-bc39e05b46c5,Infraestructura,2021-11-04,Equipamiento,2791.18,Sabe sea principios sola costa poder alto papel.,True
48f1096d-9c4f-4b46-b1b7-01aaf836f571,Docencia,2020-02-26,Mantenimiento,694.99,Mí eran peor programas lópez historia viene.,True
c4f9eccd-7630-48a7-b0ca-fdd8fc043f08,Infraestructura,2025-10-26,Equipamiento,2799.11,Diferencia jefe capital estas nuestro.,False
a4244f23-0d5b-47cd-8000-35f0df7d0dd7,Investigacion,2018-06-20,Nomina,4962.06,Temas palabra antes u ocasión verdad serán.,True
25b8a42f-836b-45c7-a7c2-25da73069588,Recursos Humanos,2020-10-03,Mantenimiento,3273.78,Ella debía cámara electoral precios especial.,True
62dbc850-3c5b-43a7-9fbb-f0b1808389c8,Infraestructura,2022-11-10,Mantenimiento,2593.47,Pesar me precios fútbol.,True
09ce3cfb-2339-4a19-a563-7cc3ca97ebf5,Docencia,2021-10-26,Mantenimiento,4903.2,Asimismo mes principios peso joven.,True
41843b03-04dd-4054-9448-23f7e7e646c7,Administracion,2016-03-15,Mantenimiento,808.75,G pasa principales decisión estaba.,True
0c394ec7-1f31-4405-8d18-3eba3cd5fd7f,Administracion,2021-01-06,Viaticos,3756.83,Ambos producto cara general victoria.,True
93364f7e-83ef-49f3-a1c7-cc8a04351b64,Infraestructura,2025-03-26,Nomina,3886.11,Formación cabeza la m civil.,False
8603156a-15ea-4bcf-ab10-21ceaa143cd8,Administracion,2019-04-20,Software,1409.15,Donde próximo sociales vuelve palabra niños.,True
fb25664d-630a-4767-a2bb-522b0b251279,Infraestructura,2024-02-11,Software,4203.63,Último su expresión internacional conocimiento única.,False
2227219f-551f-4086-81b5-b5cabc3536df,Docencia,2026-01-05,Equipamiento,2739.04,Propia español sangre.,True
a1b970d0-7a81-44de-b205-07bbfb16f757,Administracion,2024-01-08,Software,3838.08,Local parte riesgo edad.,False
33107475-ca86-4225-8b36-e356339b77a8,Infraestructura,2021-02-08,Mantenimiento,4361.05,Mal propio hijo.,True
c0d7ac73-095f-4a81-80d9-2bce7930ba20,Docencia,09/05/2025,Viaticos,1244.46,María pregunta hasta siete esos.,False
be4969ec-6667-43bb-a3b5-63606fdc0bad,Infraestructura,2022-05-17,Nomina,3749.06,Vio saber teoría necesidad organización llama.,False
ba220065-1526-4718-8d18-0a824447ceab,Investigacion,2024-12-12,Mantenimiento,2527.11,Te clase unidad defensa semana otros.,True
b7b8c1a5-9a45-493d-b227-890e4e76833a,Administracion,2021-02-22,Equipamiento,4830.23,Aquí sector deben principales ii debido.,True
ca9e4a62-fae3-414b-a3b4-42bd46494296,Docencia,2023-07-07,Nomina,588.59,E oficial dios creación.,False
d942644c-248d-41ec-87f8-d4f0f3ea0184,Investigacion,2018-11-02,Nomina,2108.9,Viene alto mucho cambio siquiera tengo martín este.,True
5ef787b8-f2e6-495f-b32e-2016add702c9,Docencia,2018-09-22,Nomina,3929.47,Sector otro hoy méxico hemos dar.,True
7fc15858-2fa0-4842-bc55-300b06a241af,Administracion,2018-01-16,Software,3494.25,Saber cuales información hombres medida n maría.,True
da52d2ee-22bf-48f5-9f65-2a87333ee344,Administracion,2024-06-21,Software,1962.05,Julio pp imagen durante.,True
109fd8ee-b5a4-4200-98f0-dd23aaf78c67,Administracion,2021-07-20,Mantenimiento,275.91,Gracias socialista ocasión momentos trabajar silencio cuadro.,True
3373730e-fc31-4597-9f11-9c0f3967e60a,Infraestructura,2024-10-08,Equipamiento,4987.39,Allí central creo miguel.,True
2138afe0-8d38-4bd8-bba6-abf7cdbcc653,Recursos Humanos,2024-01-25,Mantenimiento,3825.81,Electoral él hijo región posibilidad papel dirección libre.,True
12fc7a87-a470-4d48-9128-b9b1f8ede0ca,Investigacion,2018-03-31,Mantenimiento,3500.61,Uso mundial además título causa energía llega.,True
de431e06-e924-4069-80bb-ae526ec01269,Infraestructura,2018-04-23,Nomina,4001.1,Principios dólares podía estas.,True
